company,time,year,quarter,sale,profit,profit margin,asset,debt,equity
CU,1,2018,1,13166,261,1.982378855,12844,8929,3915
CU,2,2018,2,14785,564,3.814677038,14134,9768,4366
CU,3,2018,3,15394,656,4.261400546,15068,10173,4895
CU,4,2018,4,14414,414,2.872207576,14826,9609,5217
CU,5,2019,1,13498,263,1.948436805,20563,15605,4958
CU,6,2019,2,15165,610,4.022420046,20883,15465,5418
CU,7,2019,3,15828,648,4.094010614,21431,15512,5919
CU,8,2019,4,14970,445,2.97261189,21724,15498,6226
CU,9,2020,1,13931,185,1.327973584,21789,15912,5877
CU,10,2020,2,15491,445,2.872635724,22470,16263,6207
CU,11,2020,3,16828,637,3.785357737,24476,17754,6722
CU,12,2020,4,15563,355,2.281051211,23712,16744,6968
CU,13,2021,1,15012,216,1.438848921,24210,17499,6711
CU,14,2021,2,17005,587,3.451925904,25592,18414,7178
Emart,1,2018,1,29054,1474,5.073311764,112898.474,50764.02046,62134.45352
Emart,2,2018,2,26987,407,1.508133546,107409.5318,48416.14188,58993.38988
Emart,3,2018,3,31571,1780,5.638085585,112460,52440.23777,60019.76221
Emart,4,2018,4,27331,736,2.69291281,108162.4648,50877.95644,57284.5084
Emart,5,2019,1,28385,1143,4.026774705,128778.0416,67207.46423,61570.57738
Emart,6,2019,2,25784,-43,-0.16677009,117318.6071,59349.35342,57969.2537
Emart,7,2019,3,29557,1296,4.384748114,122844.2929,63172.22811,59672.06474
Emart,8,2019,4,26667,426,1.597480031,116267.8331,59955.50681,56312.32628
Emart,9,2020,1,27807,846,3.042399396,111644.2405,58740.60653,52903.63397
Emart,10,2020,2,25520,-242,-0.948275862,105241.9614,54701.73631,50540.22513
Emart,11,2020,3,30445,1140,3.744457218,115316.5508,61142.0034,54174.54737
Emart,12,2020,4,28510,668,2.343037531,111224.0992,58965.64009,52258.45909
Emart,13,2021,1,30019,912,3.038075885,118276.6319,63905.06308,54371.56879
Emart,14,2021,2,27872,-196,-0.703214696,114111.3812,62781.9806,51329.40065
Emart24,1,2018,1,2076,-124,-5.973025048,8066.952295,3627.249483,4439.702813
Emart24,2,2018,2,2557,-96,-3.754399687,10176.9805,4587.396701,5589.583797
Emart24,3,2018,3,2875,-74,-2.573913043,10241.12318,4775.448468,5465.674712
Emart24,4,2018,4,2870,-102,-3.554006969,11358.0284,5342.641505,6015.386891
Emart24,5,2019,1,2823,-93,-3.294367694,12807.48323,6684.04691,6123.43632
Emart24,6,2019,2,3384,-64,-1.891252955,15397.38468,7789.257367,7608.127308
Emart24,7,2019,3,3644,-22,-0.603732162,15145.12986,7788.327612,7356.802244
Emart24,8,2019,4,3694,-103,-2.78830536,16105.80026,8305.232765,7800.567492
Emart24,9,2020,1,3542,-80,-2.258610954,14221.01988,7482.260881,6738.759001
Emart24,10,2020,2,4030,-52,-1.290322581,16619.32228,8638.24441,7981.077872
Emart24,11,2020,3,4443,17,0.382624353,16828.75464,8922.77619,7905.978452
Emart24,12,2020,4,4247,-104,-2.448787379,16568.52856,8783.832812,7784.695748
Emart24,13,2021,1,4230,-53,-1.252955083,16666.44968,9004.910784,7661.538892
Emart24,14,2021,2,4795,8,0.166840459,19631.3172,10800.78921,8830.527989
EmartEveryday,1,2018,1,2793,2,0.07160759,10853.08177,4880.013393,5973.068379
EmartEveryday,2,2018,2,2938,16,0.544588155,11693.37845,5270.931368,6422.447085
EmartEveryday,3,2018,3,3143,49,1.559020045,11195.77397,5220.603317,5975.170651
EmartEveryday,4,2018,4,2875,-14,-0.486956522,11377.8159,5351.949243,6025.866659
EmartEveryday,5,2019,1,2975,20,0.672268908,13497.08204,7043.938915,6453.143128
EmartEveryday,6,2019,2,3094,45,1.454427925,14077.86885,7121.738267,6956.130583
EmartEveryday,7,2019,3,3203,71,2.21667187,13312.25327,6845.777536,6466.475737
EmartEveryday,8,2019,4,3025,17,0.561983471,12534.96907,6463.872279,6071.096789
EmartEveryday,9,2020,1,3385,114,3.367799114,13590.66976,7150.607872,6440.061891
EmartEveryday,10,2020,2,3130,62,1.980830671,12907.8111,6709.107941,6198.703161
EmartEveryday,11,2020,3,3343,53,1.585402333,12662.28377,6713.671124,5948.612641
EmartEveryday,12,2020,4,3094,48,1.551389787,12070.40908,6399.147333,5671.261748
EmartEveryday,13,2021,1,3150,45,1.428571429,12411.18593,6705.784626,5705.401303
EmartEveryday,14,2021,2,3222,68,2.110490379,13191.26257,7257.589749,5933.672822
GS25,1,2018,1,14792,199,1.345321796,38032.22819,20525.49429,17506.73391
GS25,2,2018,2,16697,653,3.910882194,38942.45509,20673.63327,18268.82182
GS25,3,2018,3,17565,764,4.349558782,40103.25019,21477.73329,18625.5169
GS25,4,2018,4,16456,306,1.859504132,38622.55392,20000.9519,18621.60203
GS25,5,2019,1,15569,268,1.721369388,50694.18293,32474.53601,18219.64692
GS25,6,2019,2,17580,868,4.937428896,51853.26776,32853.27729,18999.99047
GS25,7,2019,3,18178,898,4.940037408,52375.38163,32787.12511,19588.25652
GS25,8,2019,4,17237,530,3.074780994,54297.93462,34676.3086,19621.62603
GS25,9,2020,1,16028,406,2.533067133,53132.83122,34157.24768,18975.58355
GS25,10,2020,2,17629,702,3.98207499,57498.59393,36984.457,20514.13692
